[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x000002E8]	addi r28,r0,2815    FR=0x00000000,R28=R0+0x0AFF=0x00000AFF
[0x000002EC]	addi r28,r28,49     FR=0x00000000,R28=R28+0x0031=0x00000B30
[0x000002F0]	addi r1,r0,292      FR=0x00000000,R1=R0+0x0124=0x00000124
[0x000002F4]	call r31,r0,0x0057  R31=(PC+4)>>2=0x000000BE,PC=(R0+0x0057)<<2=0x0000015C
[0x0000015C]	push r28,fr         MEM[R28->0x00002CC0]=FR=0x00000000
[0x00000160]	push r28,r31        MEM[R28->0x00002CBC]=R31=0x000000BE
[0x00000164]	push r28,r1         MEM[R28->0x00002CB8]=R1=0x00000124
[0x00000168]	push r28,r2         MEM[R28->0x00002CB4]=R2=0x00000000
[0x0000016C]	push r28,r3         MEM[R28->0x00002CB0]=R3=0x00000000
[0x00000170]	ldw r3,r0,0x0103    R3=MEM[(R0+0x0103)<<2]=0x0000888B
[0x00000174]	shl r1,r1,1         ER=0x00000000,R1=R1<<2=0x00000490
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x50
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x50
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000491
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x65
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x65
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000492
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x72
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x72
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000493
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x66
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x66
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000494
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6F
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6F
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000495
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x72
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x72
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000496
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6D
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6D
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000497
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x69
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x69
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000498
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6E
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6E
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x00000499
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x67
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x67
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049A
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x20
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x20
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049B
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6D
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6D
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049C
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x65
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x65
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049D
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6D
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6D
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049E
